scenario,comparison,option,preference_score,rank,display_position
independent-lab,critical-rationalism,testA,0.1,5,4
independent-lab,critical-rationalism,testB,0.24,2,3
independent-lab,critical-rationalism,testC,0.37,1,5
independent-lab,critical-rationalism,testD,0.16,3,2
independent-lab,critical-rationalism,testE,0.13,4,1
independent-lab,economic,testA,0.15,4,2
independent-lab,economic,testB,0.14,5,4
independent-lab,economic,testC,0.22,3,3
independent-lab,economic,testD,0.24,2,1
independent-lab,economic,testE,0.25,1,5
independent-lab,social,testA,0.18,3,2
independent-lab,social,testB,0.17,4,1
independent-lab,social,testC,0.03,5,4
independent-lab,social,testD,0.2,2,3
independent-lab,social,testE,0.42,1,5
independent-lab,cross-lens,critical-rationalism,0.42,1,1
independent-lab,cross-lens,economic,0.19,3,2
independent-lab,cross-lens,social,0.39,2,3
legacy-rewrite,critical-rationalism,testA,0.02,5,5
legacy-rewrite,critical-rationalism,testB,0.24,2,2
legacy-rewrite,critical-rationalism,testC,0.23,3,1
legacy-rewrite,critical-rationalism,testD,0.22,4,3
legacy-rewrite,critical-rationalism,testE,0.29,1,4
legacy-rewrite,economic,testA,0.16,4,4
legacy-rewrite,economic,testB,0.21,3,2
legacy-rewrite,economic,testC,0.27,2,5
legacy-rewrite,economic,testD,0.06,5,3
legacy-rewrite,economic,testE,0.3,1,1
legacy-rewrite,social,testA,0.14,3,3
legacy-rewrite,social,testB,0.07,4,2
legacy-rewrite,social,testC,0.4,1,1
legacy-rewrite,social,testD,0.01,5,4
legacy-rewrite,social,testE,0.38,2,5
legacy-rewrite,cross-lens,critical-rationalism,0.4,2,2
legacy-rewrite,cross-lens,economic,0.52,1,1
legacy-rewrite,cross-lens,social,0.08,3,3
churn-cause,critical-rationalism,testA,0.16,2,1
churn-cause,critical-rationalism,testB,0.06,3,2
churn-cause,critical-rationalism,testC,0.03,4,4
churn-cause,critical-rationalism,testD,0.73,1,3
churn-cause,critical-rationalism,testE,0.02,5,5
churn-cause,economic,testA,0.36,1,4
churn-cause,economic,testB,0.29,2,1
churn-cause,economic,testC,0.06,5,5
churn-cause,economic,testD,0.16,3,2
churn-cause,economic,testE,0.13,4,3
churn-cause,social,testA,0.12,3,4
churn-cause,social,testB,0.13,2,3
churn-cause,social,testC,0.61,1,1
churn-cause,social,testD,0.02,5,5
churn-cause,social,testE,0.12,3,2
churn-cause,cross-lens,critical-rationalism,0.73,1,2
churn-cause,cross-lens,economic,0.11,3,3
churn-cause,cross-lens,social,0.16,2,1
